brand,model,year_from,year_to,country,is_popular
Chevrolet,Bolt,2017,2025,USA,1
Chevrolet,"Bolt EUV",2021,2025,USA,1
Chevrolet,Camaro,1998,2025,USA,1
Chevrolet,Captiva,2006,2018,USA,1
Chevrolet,Cavalier,1995,2005,USA,1
Chevrolet,Cobalt,2005,2025,USA,1
Chevrolet,Colorado,2004,2025,USA,1
Chevrolet,Corvette,2005,2025,USA,1
Chevrolet,Cruze,2009,2025,USA,1
Chevrolet,Epica,2006,2012,USA,1
Chevrolet,Equinox,2005,2025,USA,1
Chevrolet,Express,2003,2025,USA,1
Chevrolet,HHR,2006,2011,USA,1
Chevrolet,Impala,2006,2020,USA,1
Chevrolet,Lacetti,2002,2012,USA,1
Chevrolet,Lanos,1997,2012,USA,1
Chevrolet,Malibu,2004,2025,USA,1
Chevrolet,"Monte Carlo",2005,2007,USA,1
Chevrolet,Niva,2002,2020,USA,1
Chevrolet,Orlando,2011,2018,USA,1
Chevrolet,Rezzo,2000,2012,USA,1
Chevrolet,Silverado,1999,2025,USA,1
Chevrolet,"Silverado 1500",1999,2025,USA,1
Chevrolet,"Silverado 2500 HD",2001,2025,USA,1
Chevrolet,Spark,2005,2025,USA,1
Chevrolet,SSR,2003,2006,USA,1
Chevrolet,Suburban,2001,2025,USA,1
Chevrolet,Tahoe,2000,2025,USA,1
Chevrolet,TrailBlazer,2002,2025,USA,1
Chevrolet,Traverse,2009,2025,USA,1
Chevrolet,Trax,2013,2025,USA,1
Chevrolet,Uplander,2005,2009,USA,1
Chevrolet,Venture,1996,2005,USA,1
Chrysler,200,2010,2017,USA,0
Chrysler,300,2004,2025,USA,0
Chrysler,300M,1998,2004,USA,0
Chrysler,Aspen,2006,2009,USA,0
Chrysler,Concorde,1998,2004,USA,0
Chrysler,Crossfire,2003,2007,USA,0
Chrysler,"Grand Caravan",2021,2025,USA,0
Chrysler,"Grand Voyager",2008,2015,USA,0
Chrysler,Pacifica,2004,2025,USA,0
Chrysler,"PT Cruiser",2000,2010,USA,0
Chrysler,Sebring,2000,2010,USA,0
