brand;model;year_from;year_to;description;is_popular;country
Dacia;Jogger;;;;1;France
Dacia;Lodgy;;;;1;France
Dacia;Solenza;;;;1;France
Dacia;Spring;;;;1;France
Dacia;SupeRNova;;;;1;France
Daewoo;Evanda;;;;1;"South Korea"
Daewoo;Kalos;;;;1;"South Korea"
Daewoo;Leganza;;;;1;"South Korea"
Daewoo;Magnus;;;;1;"South Korea"
Daewoo;Matiz;;;;1;"South Korea"
Daewoo;Nexia;;;;1;"South Korea"
Daewoo;Nubira;;;;1;"South Korea"
Daihatsu;Applause;;;;1;Japan
Daihatsu;Cast;;;;1;Japan
Daihatsu;Copen;;;;1;Japan
Daihatsu;Cuore;;;;1;Japan
Daihatsu;"Gran Move";;;;1;Japan
Daihatsu;Luxio;;;;1;Japan
Daihatsu;Materia;;;;1;Japan
Daihatsu;Mebius;;;;1;Japan
Daihatsu;Move;;;;1;Japan
Daihatsu;Rocky;;;;1;Japan
Daihatsu;Sirion;;;;1;Japan
Daihatsu;Terios;;;;1;Japan
Daihatsu;Trevis;;;;1;Japan
Daihatsu;YRV;;;;1;Japan
Datsun;mi-DO;;;;1;Japan
Datsun;on-DO;;;;1;Japan
Dodge;Avenger;;;;1;USA
Dodge;Caliber;;;;1;USA
Dodge;"Caliber SRT4";;;;1;USA
Dodge;Caravan;;;;1;USA
Dodge;Challenger;;;;1;USA
Dodge;Charger;;;;1;USA
Dodge;Dakota;;;;1;USA
Dodge;Dart;;;;1;USA
Dodge;Durango;;;;1;USA
Dodge;Hornet;;;;1;USA
Dodge;Intrepid;;;;1;USA
Dodge;Journey;;;;1;USA
Dodge;Magnum;;;;1;USA
Dodge;Neon;;;;1;USA
Dodge;Nitro;;;;1;USA
Dodge;"Ram 1500";;;;1;USA
Dodge;"Ram 2500";;;;1;USA
Dodge;"Ram 3500";;;;1;USA
Dodge;"Ram SRT10";;;;1;USA
Dodge;Stratus;;;;1;USA
Dodge;Viper;;;;1;USA
Dongfeng;580;;;;1;China
Dongfeng;A30;;;;1;China
Dongfeng;"Aeolus AX7";;;;1;China
Dongfeng;"Aeolus Yixuan MAX";;;;1;China
Dongfeng;AX7;;;;1;China
Dongfeng;"Fengon 5";;;;1;China
Dongfeng;"Fengon 7";;;;1;China
Dongfeng;"H30 Cross";;;;1;China
Dongfeng;"Rich 6";;;;1;China
Exeed;TXL;;;;1;China
Exeed;VX;;;;1;China
FAW;"Bestune B70";;;;1;China
FAW;"Bestune T55";;;;1;China
FAW;"Bestune T77";;;;1;China
FAW;"Bestune T99";;;;1;China
FAW;"Besturn B30";;;;1;China
FAW;"Besturn B50";;;;1;China
FAW;"Besturn X40";;;;1;China
FAW;"Besturn X80";;;;1;China
FAW;Oley;;;;1;China
FAW;Vita;;;;1;China
Ferrari;296;;;;1;Italy
Ferrari;348;;;;1;Italy
Ferrari;360;;;;1;Italy
Ferrari;456;;;;1;Italy
Ferrari;458;;;;1;Italy
Ferrari;488;;;;1;Italy
Ferrari;512;;;;1;Italy
Ferrari;550;;;;1;Italy
Ferrari;"575 M";;;;1;Italy
Ferrari;"599 GTB Fiorano";;;;1;Italy
Ferrari;"599 GTO";;;;1;Italy
Ferrari;612;;;;1;Italy
Ferrari;812;;;;1;Italy
Ferrari;California;;;;1;Italy
Ferrari;"California T";;;;1;Italy
Ferrari;"Challenge Stradale";;;;1;Italy
Ferrari;Enzo;;;;1;Italy
Ferrari;F12;;;;1;Italy
Ferrari;F355;;;;1;Italy
Ferrari;F430;;;;1;Italy
Ferrari;F50;;;;1;Italy
Ferrari;"F512 M";;;;1;Italy
Ferrari;"F8 Spider";;;;1;Italy
Ferrari;"F8 Tributo";;;;1;Italy
Ferrari;FF;;;;1;Italy
Ferrari;"GTC4 Lusso";;;;1;Italy
Ferrari;LaFerrari;;;;1;Italy
Ferrari;Portofino;;;;1;Italy
Ferrari;"Portofino M";;;;1;Italy
Ferrari;Roma;;;;1;Italy
Ferrari;"SF90 Spider";;;;1;Italy
Ferrari;"SF90 Stradale";;;;1;Italy
Fiat;"124 Spider";;;;1;Italy
Fiat;500;;;;1;Italy
Fiat;500L;;;;1;Italy
Fiat;500X;;;;1;Italy
Fiat;600e;;;;1;Italy
Fiat;695;;;;1;Italy
Fiat;Albea;;;;1;Italy
Fiat;Argo;;;;1;Italy
Fiat;Brava;;;;1;Italy
